,L-c0,L-c1,L-c2,L-c3,R-c0,R-c1,R-c2,R-c3
1415,-0.000413,0.015109,0.55247,-21.929259,-0.000847,0.064423,-1.176541,8.294588
1416,-0.000526,0.005326,0.044295,-2.246045,0.027068,-0.881318,9.559303,-32.521641
1615024675_500ms,2.5e-05,-0.0008,0.050605,-2.037341,1.3e-05,-0.000133,0.0393,1.675427
